seminar_id,university,discipline,seminar_name,seminar_link
e1b7fc-8956dd-b1,University of Notre Dame,Chemistry,Department of Chemistry and Biochemistry Colloquium,https://chemistry.nd.edu/events/calendar/colloquium/
e1bd81-ade74f-e6,Brown University,Computer Science,Theory Seminar,https://theoryseminar.cs.brown.edu/
e1ccc1-c89710-b2,Colorado State University,Computer Science,CS Colloquium Series,https://www.cs.colostate.edu/BMAC/
e1eaa1-17ac8e-90,University of Central Florida,Mathematics,Numerical Analysis Seminar,https://sciences.ucf.edu/math/borges/numerical-analysis-seminar/
e1ece5-5e97a2-ca,"University of California, Riverside",Chemistry,CHEM 251 Seminar,https://chem.ucr.edu/events
e1ee1e-5afbc5-88,Texas Tech University,Mathematics,Seminars,https://www.math.ttu.edu/events/all/2023/fall/
e200c0-b70c98-27,Georgia Institute of Technology,Computer Science,School of CSE Seminar Series,https://www.cc.gatech.edu/events/2024/04/12/school-cse-seminar-series-youssef-marzouk
e25887-1fc59f-d5,University of Virginia,Mathematics,Geometry Seminar,https://math.virginia.edu/seminars/geometry/2023-24/
e26b7b-f35eaf-34,University of Rochester,Physics,Astronomy/Astrophysics Seminar,
e27a25-a9c3be-3c,Arizona State University,Mathematics,Discrete Math Seminar,https://math.asu.edu/asu-events-type/guest-artist
e2b892-d47eea-00,Iowa State University,Mechanical Engineering,Guest Seminar Series (ME600),https://www.me.iastate.edu/graduate-students/seminars/
e2fa90-c6f241-92,Columbia University,Chemistry,Colloquium Seminar Series,https://www.chem.columbia.edu/content/seminar-series-schedule
e316c7-4b5ba1-c9,Oregon State University,Mechanical Engineering,Robotics Seminar,https://engineering.oregonstate.edu/events
e31815-598871-99,University of Notre Dame,Physics,Biophysics Seminar,https://physics.nd.edu/news-events/events/calendar/biophysics-seminars/past/
e36e74-3292e6-f6,Louisiana State University,Mathematics,Informal Geometry and Topology Seminar,https://www.math.lsu.edu/calendar?selecttime=past_year&selectevent=Informal+Geometry+and+Topology+Seminar
e3a231-ba07c9-68,Case Western Reserve University,Physics,Biophysics/Biomath Colloquia,https://physics.case.edu/event-archive/biophysics-biomath-colloquia/
e3b678-3d4c10-95,Wayne State University,Chemistry,Frontiers Seminar,https://events.wayne.edu/chemistry-frontiers/2023/12/
e3b897-2c1a43-a3,Texas Tech University,Mechanical Engineering,Seminar Series,https://www.depts.ttu.edu/me/department/SeminarSeries.php
e44274-d9d19c-45,University at Buffalo,Physics,Physics Colloquium,https://arts-sciences.buffalo.edu/physics/news-events/upcoming-events/colloquium-seminar-series.html
e4529c-843d53-4e,University of Memphis,Mathematics,PDE Seminar,https://www.memphis.edu/msci/news/calendar.php
e45675-0e2564-6c,University of Notre Dame,Mathematics,Felix Klein Seminars,https://math.nd.edu/events/calendar/felix-klein-seminars/
e48224-badd91-82,Temple University,Mathematics,Analysis Seminar,https://www.math.temple.edu/events/seminars/analysis/2023/
e4a838-35ead5-6c,University of North Texas,Computer Science,Computer Science and Engineering Seminar Series,https://computerscience.engineering.unt.edu/seminar
e4b8d6-a2a80a-f1,"University of California, Irvine",Physics,Condensed Matter Seminar,https://www.physics.uci.edu/seminars?field_date_value%5Bvalue%5D%5Byear%5D=2023&field_date_value%5Bvalue%5D%5Bmonth%5D=8&field_date_value%5Bvalue%5D%5Bday%5D=1
e4fdc3-ab7b54-a9,University of Texas at Arlington,Mechanical Engineering,Brown Bag Seminar Series,https://www.uta.edu/academics/schools-colleges/engineering/academics/departments/mechanical-aerospace/students/events
e4ff6a-8095ac-3a,California Institute of Technology,Mathematics,Algebra and Geometry Seminars,https://sites.google.com/view/caltech-ag-2022-2023/home
e5029e-18ce25-1a,Stony Brook University,Chemistry,Francis Johnson Lecture,https://www.stonybrook.edu/commcms/chemistry/Seminars/namedlectureseries.php
e50aca-851449-ee,University of Delaware,Computer Science,Distinguished Speaker Series,https://www.cis.udel.edu/news-events/events/
e54520-c94aef-51,University of Wisconsin-Madison,Mathematics,Group Actions and Dynamics Seminar,https://wiki.math.wisc.edu/index.php/Dynamics_Seminar_2023-2024
e57762-9b8435-03,Indiana University Bloomington,Physics,High-Energy Physics/Astrophysics Seminar,https://physics.indiana.edu/news-events/events/hep-seminars.html
e57c82-4878a3-c8,University of Wisconsin-Madison,Mechanical Engineering,Seminar,https://mechanics.wisc.edu/seminar-series/
e585b8-893649-cb,"Graduate Center, CUNY",Mathematics,Geometry and Topology Seminar,http://comet.lehman.cuny.edu/behrstock/seminar/
e598e0-8c3363-03,Stanford University,Chemistry,Physical Chemistry Seminar,https://chemistry.stanford.edu/events/physical-chemistry-seminar
e59b6b-a79a88-de,Rutgers University-New Brunswick,Mechanical Engineering,Colloquium Series,https://mae.rutgers.edu/colloquium-series
e5bacd-274278-32,University of Chicago,Mathematics,Combinatorics and Theoretical Computer Science Seminar,http://theory.cs.uchicago.edu/
e5cc32-c0cfc9-a0,Yale University,Physics,Condensed Matter Theory Seminar,https://physics.yale.edu/calendar/all-events
e5f858-e90375-89,Utah State University,Mechanical Engineering,MAE Research Seminar Series,https://www.usu.edu/calendar/?month=2023/10/6&id=84492
e6a00f-c0bf9e-a7,Wayne State University,Mathematics,Data Science,https://events.wayne.edu/search/?q=mathematics+data+science
e6aaca-3268a1-97,Colorado State University,Mathematics,Colloquium,https://mathematics.colostate.edu/research/colloquium/
e6adfb-2fe38e-64,New York University,Physics,Center for Quantum Information Physics Seminar,https://physics.nyu.edu/events.html?EventsPage=cqip
e6e78f-ce2aff-94,University of Wisconsin-Madison,Physics,Wisconsin Quantum Institute Seminar,https://www.physics.wisc.edu/events/?year=2023&semester=Fall
e6f247-3c271e-e5,Oklahoma State University-Stillwater,Mathematics,Algebraic Geometry Seminar,https://www.mathdept.okstate.edu/announce/
e6f4ef-aaeb26-ca,University of Houston,Mathematics,Scientific Computing Seminar,https://www.math.uh.edu/%7Epan/Seminar/seminar/
e717fe-ff48fa-b7,"University of California, Santa Cruz",Chemistry,CH291 Seminar,https://science.ucsc.edu/department/chemistry/news-events/
e71b30-61edb6-b1,"University of California, Los Angeles",Physics,TEP Seminars,https://bhaumik-institute.physics.ucla.edu/seminars-and-colloquia
e731c5-6eb5e5-ad,Johns Hopkins University,Mathematics,Data Science Seminar,https://math.jhu.edu/~data/
e78c24-cbe19d-9f,University of Memphis,Physics,Physics and Materials Science Seminars,https://www.memphis.edu/physics/seminars/seminars/fall2023.php
e79f7d-68f2a3-e2,Washington State University,Mathematics,Statistics,https://www.math.wsu.edu/Calendar/
e7c653-15527b-3a,University of Pennsylvania,Chemistry,Physical Chemistry Seminars,https://www.chem.upenn.edu/events/past-events?page=4
e80f7d-e898a9-69,University of Massachusetts Amherst,Mathematics,Five College Number Theory Seminar,https://www.umass.edu/mathematics-statistics/seminars/five-college-number-theory-seminar?semester_tid=107
e8147f-a22478-30,University of Delaware,Mathematics,Departmental Colloquia,https://www.mathsci.udel.edu/events/seminars-and-colloquia/departmental-colloquia
e824d9-79a062-5b,Boston College,Mathematics,Number Theory/Representation Theory Seminar,https://spencerleslie.com/bc-nt-rt-seminar-schedule-fall-2023/
e87b9e-3f797a-56,University of Colorado Boulder,Mathematics,Kempner Colloquium,https://math.colorado.edu/seminars/
e8c0a8-7535c8-3b,Massachusetts Institute of Technology,Computer Science,HCI Seminar Series,https://calendar.csail.mit.edu/seminar_series/12405
e8cd71-52a52c-4e,University of Georgia,Mathematics,Analysis,https://calendar.google.com/calendar/u/0/embed?src=ugaanalysis@gmail.com&ctz=America/New_York
e8d3c3-48da5d-60,University of Massachusetts Amherst,Mathematics,Representation Theory Seminar,https://www.umass.edu/mathematics-statistics/seminars/representation-theory-seminar?semester_tid=107
e8d617-b32ba6-b0,Florida State University,Chemistry,Materials Seminar,https://www.chem.fsu.edu/seminars/?type=Materials
e8dbfd-aef077-af,Arizona State University,Mechanical Engineering,Mechanical & Aerospace Seminars,https://semte.engineering.asu.edu/seminars/
e8e1e0-1137cf-4a,University of Arizona,Mathematics,Mathematics Instruction Colloquium,https://www.math.arizona.edu/events/archive/5
e955ba-e786e3-cb,University of Missouri,Chemistry,Chemical and Biomedical Engineering Seminar Series,https://engineering.missouri.edu/departments/chbme/seminar-series/
e976f1-ace3a2-c0,University of Central Florida,Mathematics,Colloquium,https://sciences.ucf.edu/math/research/colloquium-spring-2021/
e97c21-d8a738-e2,Temple University,Mathematics,Probability Seminar,https://www.math.temple.edu/events/seminars/probability/2023/
e99937-4b7861-69,Rutgers University-New Brunswick,Computer Science,Symposium,https://www.cs.rutgers.edu/news-events/cs-events/past-events/month.calendar/2023/09/10/-
e999ed-a0f601-05,Princeton University,Mathematics,Discrete Math Seminar,https://www.math.princeton.edu/events/seminars/discrete-mathematics-seminar/archive/254
e9ac3c-1f074a-37,Indiana University Bloomington,Mathematics,Dynamical Systems Seminar,https://math.indiana.edu/seminars/index.html
e9b392-e4fc0f-4c,University of Southern Mississippi,Physics,Department of Physics and Astronomy Seminars/Colloquia,https://www.phy.olemiss.edu/Colloquia/2324fall.html
e9ba2d-ebc5f3-dd,Stony Brook University,Mathematics,Della Pietra Lecture Series,https://www.math.stonybrook.edu/past-events
e9c6ab-f54df3-fa,Rutgers University-New Brunswick,Physics,Condensed Matter Seminar,https://physics.rutgers.edu/events/seminars?view=article&id=2639
e9e5b5-0581cd-31,Pennsylvania State University,Mathematics,Noncommutative Geometry Seminar,https://math-cal.cloud.science.psu.edu/events/seminar/409/2023
ea3597-810014-f0,Florida State University,Physics,Physics Colloquium,https://physics.fsu.edu/news-events/physics-colloquium
ea35af-16019d-be,"Graduate Center, CUNY",Mathematics,Geometric Analysis Seminar,https://www.lehman.edu/faculty/rbettiol/seminar.html
ea5e8e-8ef108-33,"University of California, San Diego",Chemistry,Inorganic Seminar,https://chemistry.ucsd.edu/ext/seminars.html
ea5f4f-5f2e0e-6b,Tulane University,Mathematics,Modular Forms Seminar,https://sse.tulane.edu/math/working-seminar-modular-forms
ea6b77-ddacbb-d5,University of New Hampshire,Chemistry,Seminar Series,https://ceps.unh.edu/chemistry/seminars/spring-2024-seminar-series
ea864f-6a7c49-d2,University of Washington,Mathematics,Algebra and Algebraic Geometry Seminar,https://math.washington.edu/events/series/algebra-and-algebraic-geometry-seminar
eac348-4af568-6f,"University of Maryland, College Park",Mathematics,Algebraic Geometry,https://www-math.umd.edu/research/seminars/algebraic-geometry.html
eaca50-1fc505-46,University of Maine,Physics,Physics Colloquium,https://physics.umaine.edu/past-colloquia/
eacfa3-71199d-c9,University of Arkansas,Physics,Colloquia,https://physics.uark.edu/about-the-department/news-and-events/colloquia-and-events-calendar.php
eb06ce-5e845c-b1,"University of California, Berkeley",Mathematics,3-Manifold Seminar,https://events.berkeley.edu/math/month/date/20230801
eb3cfe-5d06eb-ce,University of Kansas,Mathematics,Colloquium,https://mathematics.ku.edu/colloquium-abstracts-fall-2023
eb4ed4-02da84-a9,Cornell University,Mathematics,Logic Seminar,https://pi.math.cornell.edu/m/event-list-p/logic
eb5a62-02e0c7-56,"University of California, Davis",Mathematics,Algebraic Geometry Seminar,https://www.math.ucdavis.edu/research/seminars?type=28&when=past
eb6882-b62ee5-81,Princeton University,Mathematics,Department Colloquium,https://www.math.princeton.edu/events/seminars/department-colloquium/archive/254
ebaee8-773795-03,University of Delaware,Mathematics,Mathematics of Quantum Science Seminar,https://www.mathsci.udel.edu/events/seminars-and-colloquia/mathematics-of-quantum-science
ebd770-fc81bf-66,University of Kentucky,Physics,Nuclear Seminar,https://pa.as.uky.edu/event-archive/type/5407
ebe0bd-cfb517-5a,Dartmouth College,Mathematics,Functional Analysis Seminar,https://math.dartmouth.edu/~funct-an/
ec0050-d84fe6-73,Oregon State University,Mechanical Engineering,CBEE Seminar,https://engineering.oregonstate.edu/events
ec30dc-12661c-ba,University of Virginia,Physics,Colloquium,https://www.phys.virginia.edu/Announcements/talk-list.asp?GID=speakers_committee&ORDER=desc&OMITNULL=1&MAXTALK=50&SHOWMORE=1
eceaab-0f0cc6-7f,University of Minnesota,Mathematics,IMA Industrial Problems Seminar,https://cse.umn.edu/ima/industrial-problems-seminar
ed1459-1750b2-0f,"University of Maryland, College Park",Mathematics,Logic Seminar,https://www-math.umd.edu/research/seminars/logic-seminar.html
ed47b5-bcf2a0-b5,Ohio State University,Chemistry,Biochemistry Seminars,https://www.chemistry.ohio-state.edu/events?field_evt_date_range_end_value_1=08%2F01%2F2023&field_evt_date_range_value=12%2F29%2F2023&field_evt_taxonomy2_target_id=56
ed484b-f3b587-fa,Stanford University,Mathematics,Geometry Seminar,https://mathematics.stanford.edu/events/geometry
eddb64-40d70b-b2,Texas A&M University,Mathematics,Groups and Dynamics Seminar,https://www.math.tamu.edu/seminars/groups_dynamics/
edee66-715064-0b,Florida International University,Mathematics,Applied Mathematics Seminar Sessions,https://case.fiu.edu/mathstat/seminars/
ee0a31-db9a9c-6a,"University of California, Berkeley",Mathematics,Arithmetic Geometry Seminar,https://events.berkeley.edu/math/month/date/20230801
ee1a6d-ae29d8-57,Princeton University,Mathematics,PU/IAS Symplectic Geometry Seminar,https://www.math.princeton.edu/events/seminars/puias-symplectic-geometry-seminar
ee1ed1-233cf5-0a,Baylor University,Mathematics,Random Matrices and Free Probability Learning Seminar,https://sites.google.com/view/baylorrmfp/home
ee5226-64a607-eb,Rice University,Mechanical Engineering,Seminar Series,https://mech.rice.edu/news-events/seminar-series
ee6baa-8705e6-cb,University of Alabama,Mechanical Engineering,Seminar Series,https://me.eng.ua.edu/research/past-seminars/
ee8223-5c6f7d-c2,New York University,Chemistry,Simons Seminar,https://wp.nyu.edu/sccpc/events/
eeec18-b9f684-ee,University of New Mexico,Mathematics,Applied Math Seminars,https://math.unm.edu/news-events/events/calendar/month/2023-09
ef0319-090d40-c5,Oregon State University,Mathematics,Applied Mathematics and Computation Seminar,https://internal.math.oregonstate.edu/events?type=5&search=
ef08db-85b641-06,University of Colorado Boulder,Chemistry,Analytical Chemistry Seminars,https://calendar.colorado.edu/group/chemistry/calendar/month/2023/9
ef2346-b6a782-38,University of Michigan,Computer Science,Electrical and Computer Engineering Distinguished Seminar Series,https://ece.engin.umich.edu/events/distinguished-lectures/ece-distinguished-seminar-series/
ef3641-707959-29,Louisiana State University,Chemistry,Macromolecular Seminar,https://www.lsu.edu/science/chemistry/seminars/divison-seminars.php
ef3c8f-538ead-31,Brown University,Mathematics,PDE Seminar,https://www.dam.brown.edu/pde/seminar.html
ef50c7-063fea-f4,University of Oregon,Mathematics,Colloquium,https://naturalsciences.uoregon.edu/mathematics/seminars
ef889f-b805bf-bb,University of Pennsylvania,Mathematics,Algebra Seminar,https://www.math.upenn.edu/events/seminars/algebra-seminar
efa2dc-c9810a-dc,Colorado State University,Chemistry,Inorganic Seminars,https://www.chem.colostate.edu/inorganic-seminars/
efe576-5978b3-3a,Auburn University,Computer Science,AI@AU Forum,https://eng.auburn.edu/ai-au/forum#fall-2023-forum
eff396-7afae4-e2,University of Virginia,Physics,High Energy Seminars,http://www.physics.virginia.edu/Announcements/talk-list.asp?GID=hep_sem_committee&ORDER=desc&OMITNULL=1&MAXTALK=50&SHOWMORE=1
f0016d-34e7d8-8b,University at Buffalo,Chemistry,"BCOOL (Biological Chemistry, Organic and Organometallic Lecture) Series",https://arts-sciences.buffalo.edu/chemistry/news-events/seminars/bcool-series.html
f021d1-a1071e-6f,University of Houston,Mathematics,Networks Cluster Seminar,https://www.math.uh.edu/networks/
f02df6-f291a8-58,University of Arizona,Physics,Physics Colloquium,https://w3.physics.arizona.edu/events
f049b5-c85521-3e,Princeton University,Physics,Princeton Quantum Colloquium,https://quantum.princeton.edu/events/quantum-colloquium
f08e24-200f71-1a,Virginia Tech,Mathematics,Applied Numerical Analysis Seminar,https://math.vt.edu/calendar.html
f0aa7f-a4d802-65,University of Florida,Physics,Astrophysics Seminars,https://www.phys.ufl.edu/astroseminar/
f0bae0-f1d1b4-8d,University of Wisconsin-Madison,Mathematics,Number Theory and Representation Theory (MATH 967-001),https://wiki.math.wisc.edu/index.php/NTS_Fall_Semester_2023
f0f147-98a885-cd,Stony Brook University,Mathematics,Analysis Seminar,https://www.math.stonybrook.edu/past-events
f0fcc6-16d0eb-c8,University of Georgia,Physics,Department of Physics & Astronomy Colloquium Event,https://www.physast.uga.edu/events/content/2023/department-physics-astronomy-colloquium-event
f105e5-8fcde4-0d,Princeton University,Mechanical Engineering,Crocco Colloquium,https://mae.princeton.edu/about-mae/events/crocco-colloquium
f12570-55dc08-57,"University of Maryland, Baltimore County",Mathematics,Machine Learning Seminars,https://mathstat.umbc.edu/events/past/?tag=ml-seminar
f13d32-1814f2-77,Case Western Reserve University,Chemistry,Colloquium,https://chemistry.case.edu/calendar/
f152be-7b5986-27,Rutgers University-New Brunswick,Physics,High Energy Theory Seminar,https://physics.rutgers.edu/research/research-group-high-energy-theory/het-physics-seminar-f2023
f19c1f-83fad7-4d,Louisiana State University,Computer Science,ECE Seminars,https://www.lsu.edu/eng/ece/seminar/index.php
f1a8f7-de9a3a-4f,Michigan State University,Mathematics,Dynamical Systems,https://math.msu.edu/research/seminar.aspx?seriesId=52
f1ae63-1482df-32,Rutgers University-New Brunswick,Physics,CMT Symposium,https://sites.rutgers.edu/cmt-symposium-23/schedule/
f1e214-edd2fc-48,University of Kansas,Physics,Physics Colloquia,https://physics.ku.edu/colloquia-archive
f211a4-5b5d19-cc,University of Georgia,Chemistry,Materials Chemistry and Nanoscience Seminar,https://www.chem.uga.edu/events/past?field_type_of_event_target_id=38&items_per_page=10&page=1
f24ef4-f3901a-85,Georgetown University,Chemistry,Seminar Series,https://chemistry.georgetown.edu/events/
f251bb-255c61-47,"University of California, Los Angeles",Chemistry,Dickerson Biochemistry Seminar,https://www.chemistry.ucla.edu/calendar/month/2023-09/
f25749-5e8965-25,Ohio State University,Physics,Exploration of Novel Complex Materials,https://u.osu.edu/encomm/
f29f15-bc17c7-05,University of Wisconsin-Madison,Chemistry,Materials Seminars,https://chem.wisc.edu/materials-chemistry-seminars/
f2b1b5-5cc455-33,University of North Carolina at Chapel Hill,Chemistry,Organic Chemistry Seminars,https://chem.unc.edu/events-calendar/
f2e0a0-11ac28-19,University of Delaware,Physics,Particle Physics Seminar,https://www.physics.udel.edu/events/seminar
f3094b-4b72ac-3c,Brown University,Chemistry,Inorganic Chemistry Seminars,https://chemistry.brown.edu/events/seminars
f377dd-fe6ad1-21,Cornell University,Computer Science,Artificial Intelligence Seminar,https://www.cs.cornell.edu/content/spring-2024-artificial-intelligence-seminar
f3aae2-5a4990-f0,Carnegie Mellon University,Chemistry,Chemistry Seminar,https://www.cmu.edu/chemistry/news/calendar.html
f3b23d-8e0575-6d,Michigan State University,Mathematics,Colloquium,https://math.msu.edu/research/seminar.aspx?seriesId=51
f3d223-0a4f74-1b,"University of California, Davis",Physics,Frederica Darema Lecture Series,https://daremalectures.physics.ucdavis.edu/speakers/
f3fa97-5a82a5-da,Northeastern University,Physics,Quantum Matter Seminar,https://cos.northeastern.edu/events/quantum-matter-seminar-peter-meisenheimer-uc-berkeley/
f4354b-15ffa3-1f,Carnegie Mellon University,Mathematics,Mathematical Logic Seminars,https://www.cmu.edu/math/news-events/logic_seminars.html
f44e62-abacc2-1b,"University of California, Los Angeles",Mathematics,Algebraic Topology Seminar,https://secure.math.ucla.edu/seminars/show_quarter.php?t=1704182400&type=Algebraic%20Topology&id=&tba=
f44e8e-66bf2a-bd,University of Arizona,Physics,Steward Observatory/NSF NOIRLab Joint Colloquium Series,https://w3.physics.arizona.edu/events
f46e55-5424af-36,Virginia Commonwealth University,Mathematics,Mathematics Education Seminar,https://math.vcu.edu/events/mathematics-education-seminar/#d.en.627167
f49479-d292fc-f9,University of Arizona,Mathematics,Algebraic Geometry Seminar,https://www.math.arizona.edu/events/archive/5
f4a838-4bd3a5-33,University of Washington,Computer Science,Colloquia,https://www.cs.washington.edu/events/colloquia
f4f844-255911-54,University of Wisconsin-Madison,Physics,Atomic Physics Seminars,https://www.physics.wisc.edu/events/?year=2023&semester=Fall&name=Atomic
f52613-d884a6-ca,Rutgers University-New Brunswick,Physics,Mathematical Physics Seminar,https://cmsr.rutgers.edu/news-events-cmsr/mathematical-physics-webinar/range.listevents/-
f55c64-d3428c-9d,University of Hawaii at Manoa,Chemistry,Chemistry Seminars,https://manoa.hawaii.edu/chem/news-events/seminar-schedule/
